Game_ID,WL,Team,Opponent,Team_ORtg_game,Team_DRtg_game,Team_PTS,Team_FGA,Team_FTA,Team_OREB,Team_TOV,Opp_PTS,Opp_FGA,Opp_TOV,Opp_OREB,Opp_FTA,Team_DRtg_season,Team_ORtg_season,Season
,,,,8566.623094025124,8948.820288635028,7972,6496,2207,1069,1235,8362,6433,1168,981,2372,109.11207148523947,104.44014735860229,2005-06
,,,,8472.889306705214,8623.51553096242,8033,6322,2204,813,1301,8159,6462,1140,910,2457,104.96482732713416,103.25511326827562,2005-06
,,,,8667.295721088652,8470.156729373843,8002,6412,2318,959,1099,7819,6481,1037,807,1970,103.18298186808838,105.67993322697545,2005-06
,,,,8338.55803336078,8618.610622316277,7611,6428,2176,918,1026,7842,6286,1157,860,2014,104.99172597721832,101.56883887773839,2005-06
,,,,8336.061798915927,8284.025954755125,8020,6737,1967,906,1197,7968,6515,1169,881,2472,100.97989019957721,101.60284183908746,2005-06
,,,,8994.610780123488,8414.472091599258,8130,6375,2322,1030,1055,7632,6319,1094,935,2163,102.72257904739345,109.54393075422276,2005-06
,,,,8475.555924493328,8444.203693246727,8227,6672,2312,903,1180,8208,6764,1263,965,2090,102.83652400521198,103.27279483020932,2005-06
,,,,8393.834701721118,8541.533622305413,8076,6785,2190,980,1117,8187,6674,1208,985,2187,104.16984761962927,102.41452774677893,2005-06
,,,,8181.658759036596,8327.1338231694,7387,6252,1980,849,1121,7517,6310,1034,874,2135,101.45220935568332,99.88911726525313,2005-06
,,,,8505.7115413634,8306.829161879783,7970,6443,2142,828,1130,7841,6638,996,858,2175,101.39661192292772,103.67506647171766,2005-06
,,,,8702.351652040257,8492.150640669457,8154,6607,2172,970,1097,7949,6547,1102,893,2123,103.36639740342152,106.03822265685957,2005-06
,,,,8781.018423118112,8415.020540868778,8191,6355,2310,858,1139,7874,6529,997,826,2223,102.55114533245116,107.0383147770634,2005-06
,,,,8523.393469850174,8651.114744342209,8020,6566,2115,929,1151,8105,6383,1151,832,2237,105.44762876189782,103.90485321172233,2005-06
,,,,8254.216446520773,8419.046865919778,7522,6340,1895,811,1126,7676,6474,1076,974,2072,102.51506474635667,100.44332870419828,2005-06
,,,,8382.027661739934,8254.353957630772,7691,6317,2187,822,1065,7579,6222,1117,787,2232,100.59622409106355,102.2429369818725,2005-06
,,,,8342.19583102999,8952.464837813432,7842,6206,2587,1034,1397,8367,6359,1105,883,2480,109.05607257370767,101.74795777498676,2005-06
,,,,8561.520451322513,8644.052792506563,7784,6167,2277,892,1183,7872,6327,1053,911,2285,105.31949052766778,104.34484200818245,2005-06
,,,,8394.680918747037,8234.023996875427,7699,6274,2158,898,1204,7544,6504,1064,968,2060,100.50090589363744,102.25087389368777,2005-06
,,,,8557.637592089804,8682.088814078055,8147,6546,2330,873,1112,8307,6699,1200,974,2111,105.7699163721186,104.31230954392973,2005-06
,,,,9020.584934979073,8495.402084241015,8886,7167,1475,778,1048,8431,7141,1170,1028,1956,103.52864321114392,109.8936433341578,2005-06
,,,,8121.794177355134,9016.677825053976,7285,6267,1944,886,1123,8060,6472,1019,1029,1971,109.9704744284537,98.98958605096095,2005-06
,,,,8581.087368938885,8441.717945670991,8106,6500,2173,852,1146,7980,6726,1156,953,1891,102.82127137600115,104.59192889916542,2005-06
,,,,8673.34481566235,8000.514770370046,7837,6342,1891,851,1087,7278,6420,1087,886,1912,97.53051346237342,105.76191221639829,2005-06
,,,,8873.593814020121,9211.241595655592,8411,6711,2104,1013,1150,8659,6596,1131,1003,2255,112.21844949586583,108.19732021569999,2005-06
,,,,8810.895302263174,9047.210716724981,8287,6639,2089,864,1023,8532,6448,1115,835,2267,110.4397396666615,107.38406356742637,2005-06
,,,,8358.369315736305,8608.471398848005,7573,6207,2466,1071,1211,7789,6077,1129,871,2466,104.97247993272272,101.89665287054429,2005-06
,,,,8544.887692787137,8216.457430927816,7558,6125,2077,834,1056,7255,6172,1148,927,1942,100.10376020354661,104.09206597547404,2005-06
,,,,8742.119492976251,8636.958313588824,8336,6656,2496,1035,1100,8184,6477,1276,964,2222,105.3732096597259,106.6088264332595,2005-06
,,,,8893.837848553025,8269.632229573645,7941,6558,1950,975,882,7394,6450,1091,951,1677,100.90230735219464,108.43916427693568,2005-06
,,,,8209.684340313566,8594.138191274607,7943,6843,2186,990,1115,8271,6410,1423,940,2283,104.72907950850393,100.16595542911332,2005-06
,,,,8278.210626206392,8717.838098932256,7680,6372,2203,976,1246,8070,6335,1196,948,2315,106.16186066091349,100.90234019854638,2006-07
,,,,8289.970087748168,8650.105291520687,7857,6454,2178,918,1285,8137,6337,1195,848,2376,105.27282700945993,100.99854485996205,2006-07
,,,,8463.811985755538,8171.981914927139,7934,6658,2133,1039,1127,7620,6337,1201,807,2096,99.56567414585196,103.24652678371582,2006-07
,,,,8431.267782710547,8588.44007660003,7833,6674,1941,1025,1119,7962,6579,1077,853,1839,104.59580460736505,102.76776296109702,2006-07
,,,,8451.94822053574,8018.803017608912,8100,6663,2083,984,1263,7689,6416,1365,897,2219,97.81994717799184,103.07284323256796,2006-07
,,,,8979.589726056316,8311.306124367298,8201,6442,2045,920,1075,7609,6241,1131,839,2216,101.34469182369831,109.39334115889447,2006-07
,,,,8631.645921410245,8486.582872644045,8639,6805,2449,1001,1322,8506,7088,1281,1006,1945,103.49442741032755,105.30793947993311,2006-07
,,,,8612.278359204181,8625.424826155124,8737,7048,2113,940,1286,8765,6871,1467,1074,2419,105.2428089083565,104.9650877251998,2006-07
